current_tariff,arpu_segment,data_segment,call_segment,n,arpu_sum,arpu_mean,arpu_median
tariff_8,HIGH,HEAVY,MEDIUM,1433,11268250.147256754,7863.398567520415,7673.313336359378
tariff_8,HIGH,HEAVY,HIGH,985,8241073.691338382,8366.572275470438,7981.147408042008
tariff_10,HIGH,HEAVY,MEDIUM,898,7447887.085518385,8293.860897013792,8054.249938042938
tariff_8,HIGH,LITE,MEDIUM,760,6013022.846817899,7911.872166865656,7688.7493051317215
tariff_10,HIGH,HEAVY,HIGH,609,5331856.882505631,8755.101613309738,8180.918263389626
tariff_8,HIGH,HEAVY,LOW,660,4833280.93077292,7323.152925413516,7036.285639684825
tariff_11,HIGH,HEAVY,MEDIUM,535,4737672.519372464,8855.462653032644,8547.1656649161
tariff_4,HIGH,HEAVY,MEDIUM,589,4455061.538161829,7563.771711649964,7336.272841549033
tariff_10,HIGH,LITE,MEDIUM,463,3937599.5768049443,8504.53472312083,8302.552597984813
tariff_10,HIGH,HEAVY,LOW,480,3543486.0149814235,7382.262531211299,7379.954742992046
tariff_8,HIGH,LITE,LOW,491,3428283.6719028563,6982.247804282803,6910.659875390194
tariff_4,HIGH,HEAVY,HIGH,410,3208917.1701153647,7826.627244183816,7515.452858522817
tariff_8,HIGH,LITE,HIGH,380,3095646.800643536,8146.438949061936,7732.443184263674
tariff_11,HIGH,HEAVY,HIGH,317,3035012.111648258,9574.17069920586,8943.585902221126
tariff_8,MID,LITE,LOW,703,3027446.028695058,4306.466612652998,3975.839926875505
tariff_4,HIGH,LITE,MEDIUM,376,2842492.604220471,7559.820755905507,7330.685915384252
tariff_14,HIGH,HEAVY,MEDIUM,313,2514437.8083023406,8033.347630358916,7759.730877262668
tariff_4,MID,LITE,LOW,543,2286283.320654009,4210.466520541453,3913.093085259548
tariff_11,HIGH,LITE,MEDIUM,255,2191968.461806657,8595.954752182968,8520.877430187851
tariff_10,HIGH,LITE,LOW,301,2181734.465805919,7248.287261813684,7136.06313006539
tariff_4,HIGH,HEAVY,LOW,298,1991383.1542644436,6682.493806256522,6488.1328273472445
tariff_11,HIGH,HEAVY,LOW,250,1896577.9938451084,7586.311975380434,7414.0522308186355
tariff_4,HIGH,LITE,LOW,262,1856491.2833284396,7085.84459285664,6868.990458072545
tariff_8,MID,HEAVY,LOW,411,1803570.762628614,4388.2500307265545,4120.906194025383
